2505,5194,5537,1311
610,744,97,171
4267,1998,517,1766
400,619,63,220
1069,2310,403,361
11074,11450,6700,4631
732,879,298,191
3,17,1,1
185,47,6,54
10266,46681,725,2197
63,158,6,11
202,2645,284,73
1500,2977,134,282
213,33,29,114
38,22,15,19
2942,1490,820,929
50,210,19,20
2159,1115,321,734
266,785,172,88
3349,8779,905,888
2743,2150,712,777
199,289,171,112
171,118,207,89
91,11,162,52
2979,644,4447,1250
779,5504,1343,412
22,61,12,6
100,203,36,35
311,233,124,120
1809,5373,335,816
53,149,11,14
41,41,14,15
2999,2202,883,888
29,15,9,10
296,321,175,135
156,116,46,51
16411,14713,3641,4083
3065,2734,1202,1034
2463,2839,1155,812
31,35,2,9
4093,4798,2418,1487
17,20,5,6
10664,11343,3890,3919
226,1085,33,63
10075,9019,2639,4226
3,1,6,4
2343,976,4117,1133
2095,2949,663,753
233,182,99,153
1005,837,437,377
5337,7840,1126,1986
52,39,54,20
13111,25933,5066,3934
76,48,36,18
1262,1915,549,377
887,1244,548,341
4794,2182,510,1338
3041,3026,1148,908
1288,2905,320,604
2918,1772,1576,1094
940,867,648,375
368,307,213,215
884,573,555,348
10104,15877,2025,1952
68,92,10,11
1618,4878,1313,647
518,389,121,163
1459,1116,736,597
3195,1558,626,2395
3,31,3,0
4367,4656,1013,1309
1461,1319,587,478
4015,3433,1224,1368
123,139,184,102
12036,17966,2019,4610
949,791,326,359
688,17,378,226
3550,24853,3618,1425
18461,2662,3335,9581
3551,1505,914,1401
8,341,21,3
50,47,51,19
846,672,401,313
3050,2371,623,1037
7521,5835,2163,2876
41,23,5,13
9422,7628,3025,3187
13197,14110,6864,5478
406,1082,84,79
2317,266,86,762
391,1283,137,121
584,102,1297,285
5119,4271,1939,1837
48,23,28,28
48261,49902,34481,32397
3,15,0,2
9,4,8,6
4,12,1,1
131,182,393,75
1035,1108,694,383
28,24,7,8
819,764,238,319
108,96,23,35
161,139,50,52
514,624,281,165
5,180,0,1
2160,4060,1103,765
505,25503,97,74
1987,52243,977,2023
2725,6832,189,943
12624,478,556,3326
